-139,-16
-139,-15
-139,-14
-139,-13
-139,-12
-139,-11
-139,-10
-139,-9
-139,-8
-139,-7
-139,-6
-139,-5
-139,-4
-139,-3
-139,-2
-139,-1
-139,0
-139,1
-139,2
-139,3
-139,7
-139,8
-139,9
-139,10
-139,11
-139,12
-139,13
-139,14
-139,15
-139,16
-139,17
-138,-23
-138,-22
-138,-21
-138,-20
-138,-19
-138,-18
-138,-17
-138,-9
-138,-8
-138,-7
-138,-6
-138,-5
-138,-4
-138,-3
-138,-2
-138,-1
-138,0
-138,1
-138,2
-138,3
-138,4
-138,5
-138,6
-138,7
-138,8
-138,9
-138,14
-138,15
-138,16
-138,17
-138,18
-138,19
-138,20
-138,21
-138,22
-137,-28
-137,-27
-137,-26
-137,-25
-137,-24
-137,-18
-137,-17
-137,-16
-137,-15
-137,-14
-137,-13
-137,-12
-137,-11
-137,10
-137,11
-137,12
-137,13
-137,14
-137,15
-137,16
-137,17
-137,18
-137,20
-137,24
-137,25
-137,26
-137,27
-137,28
-136,-33
-136,-32
-136,-31
-136,-30
-136,-29
-136,-25
-136,-24
-136,-23
-136,-22
-136,-21
-136,-20
-136,14
-136,15
-136,16
-136,19
-136,20
-136,21
-136,22
-136,23
-136,24
-136,25
-136,28
-136,29
-136,30
-136,31
-136,32
-135,-37
-135,-36
-135,-35
-135,-34
-135,-31
-135,-30
-135,-29
-135,-28
-135,-27
-135,-26
-135,14
-135,15
-135,16
-135,26
-135,27
-135,28
-135,29
-135,30
-135,33
-135,34
-135,35
-135,36
-134,-40
-134,-39
-134,-38
-134,-37
-134,-34
-134,-33
-134,-32
-134,-31
-134,14
-134,16
-134,30
-134,31
-134,32
-134,33
-134,38
-134,39
-134,40
-133,-43
-133,-42
-133,-41
-133,-38
-133,-37
-133,-36
-133,-35
-133,14
-133,15
-133,16
-133,35
-133,36
-133,37
-133,38
-133,41
-133,42
-133,43
-132,-46
-132,-45
-132,-44
-132,-41
-132,-40
-132,-39
-132,14
-132,15
-132,16
-132,38
-132,39
-132,40
-132,41
-132,44
-132,45
-132,46
-131,-49
-131,-48
-131,-47
-131,-44
-131,-43
-131,-42
-131,14
